tick,wind,sun,s2,s3,s4,s6,s7,s8,s9,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sM,sN,sO,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
0,14.068224772160079,-0.10093645729385381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12.545371971576715,0.34678392286524595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893525667488575e-3,1.859385520219803e-2,1.1175870895385742e-4,1.7462298274040222e-6,0.0,1.7462298274040222e-6,7.152557373046875e-3,4.71482053399086e-5,1.3969838619232178e-5,1.1175870895385742e-4,1.3969838619232178e-5,0.0,0.0,1.7462298274040222e-6,1.3969838619232178e-5,0.0
2,11.676780577895128,-6.012667549710282e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.5871163234114647,12.9480758914724,0.5989568307995796,5.7220458984375e-2,15.0,3.410605131648481,0.8940696716308594,1.1900067329406738,2.124637831002474e-2,0.7366907084360719,6.275426130741835e-2,0.27496833354234695,0.5989568307995796,0.3771856427192688
3,12.284010280582516,-0.40623576674917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,5.214214324951172,15.0,4.296380211599171,0.5490705370903015,15.0,6.502741598524153,2.5196297792717814,5.214214324951172,3.437104169279337e-2,3.170887939631939,0.24553388357162476,0.8286768570542336,2.1997466683387756,0.9984715143218637
4,12.741042469596941,0.43510691734744844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,11.236737482249737,,4.689708002842963,0.5989568307995796,,8.279979228973389,2.5871163234114647,8.885599672794342,5.2021932788193226e-2,4.999958910048008,0.3586389357224107,0.9984715143218637,3.093552659265697,1.1900067329406738
5,10.833641707814824,-0.237900619779573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,7.702521979808807,,5.776439211331308,0.457763671875,,9.358700481243432,2.079787664115429,9.041483863256872,4.25887992605567e-2,4.895068123005331,0.4795583663508296,0.8609594078734517,2.3242319002747536,1.6435375437140465
6,10.491747405043172,-8.76696383008575e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,3.2495014602318406,,5.893525667488575,0.3586389357224107,,7.287507760338485,1.2730015441775322,7.562479586340487,4.71482053399086e-2,2.7256831526756287,0.3233895404264331,0.9628152474761009,2.2614182671532035,1.2730015441775322
7,10.640894735628816,0.4269713044465965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.5196297792717814,,5.66091388463974,0.23163913283497095,,5.323599907569587,1.0724033927544951,6.012183730490506,3.0691735446453094e-2,2.1997466683387756,0.1812988193705678,0.8940696716308594,1.7991423374041915,1.0349974036216736
8,9.954054338086067,0.15163666348047933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.1997466683387756,,5.434504710137844,0.14875084161758423,,3.662109375,1.0349974036216736,4.108244902454317,3.437104169279337e-2,2.1997466683387756,0.15912519302219152,0.7665529847145081,1.6435375437140465,0.8940696716308594
9,9.20723583987883,-4.257126727595928e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,1.5937368152663112,,3.9256835589185357,9.581912308931351e-2,,3.0174851417541504,0.6517767906188965,2.5196297792717814,2.124637831002474e-2,2.3881980450823903,8.147209882736206e-2,0.5989568307995796,1.4503905549645424,0.624994863756001
