tick,wind,sun,s2,s3,s4,s6,s7,s8,s9,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sM,sN,sO,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aC,aD,aE,aF,aG
0,14.544066174909606,-0.10093645729385381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13.276114018741428,0.34678392286524595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152557373046875e-3,2.124637831002474e-2,4.71482053399086e-5,0.0,0.0,0.0,1.1977390386164188e-2,4.71482053399086e-5,1.3969838619232178e-5,4.71482053399086e-5,0.0,0.0,1.7462298274040222e-6,4.71482053399086e-5,0.0
2,13.728284477283315,-6.012667549710282e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,3.748612361960113,15.0,1.0724033927544951,9.581912308931351e-2,15.0,7.019283366389573,1.3597682118415833,2.6557972887530923,1.4971737982705235,5.7220458984375e-2,0.5252013215795159,1.3159081572666764,0.5736522143706679
3,12.877450987536221,-0.40623576674917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,13.350578374229372,,6.757722585462034,0.5252013215795159,,12.167504173703492,3.170887939631939,5.106337484903634,5.434504710137844,0.5020340904593468,1.1498975800350308,3.0174851417541504,1.6943650553002954
4,11.634200203121283,0.43510691734744844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,11.418951326049864,,7.987772114574909,0.4161754623055458,,10.015220032073557,3.2495014602318406,4.791654646396637,6.012183730490506,0.5490705370903015,1.1498975800350308,2.6557972887530923,1.7462298274040222
5,10.558015686699235,-0.237900619779573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,6.887675262987614,,5.893525667488575,0.27496833354234695,,7.844282663427293,2.7967843925580382,5.106337484903634,4.108244902454317,0.3771856427192688,0.8940696716308594,1.964271068572998,1.544952392578125
6,9.855785581038942,-8.76696383008575e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,3.0174851417541504,,4.999958910048008,0.21827872842550278,,5.546939210034907,2.1392066264525056,5.106337484903634,2.9426749097183347,0.23163913283497095,0.5989568307995796,1.3597682118415833,0.9984715143218637
7,11.033814413147155,0.4269713044465965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.607958146370947,,1.8531130626797676,,3.9256835589185357,0.23163913283497095,,4.999958910048008,1.4971737982705235,3.748612361960113,2.3881980450823903,0.21827872842550278,0.3771856427192688,0.8286768570542336,0.5989568307995796
8,10.659066480528304,0.15163666348047933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.7256831526756287,,7.152557373046875,0.2905289875343442,,4.689708002842963,1.964271068572998,3.9256835589185357,3.4931162372231483,0.2599734580144286,0.4795583663508296,1.1498975800350308,0.8940696716308594
9,9.724072716441073,-4.257126727595928e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,2.1392066264525056,,6.502741598524153,0.30666589736938477,,5.106337484903634,1.5937368152663112,4.5892177149653435,3.170887939631939,0.23163913283497095,0.7665529847145081,1.2730015441775322,0.7972115417942405
