tick,wind,sun,s2,s3,s4,s6,s7,s8,s9,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sM,sN,sO,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
0,8.454246173543678,-0.10093645729385381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.054155588047749,0.34678392286524595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3969838619232178e-5,5.989568307995796e-4,1.3969838619232178e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.257819017082216,-6.012667549710282e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6557972887530923,3.410605131648481,0.19311904907226563,2.3881980450823903,0.1293746754527092,1.7462298274040222e-3,2.5196297792717814,0.3586389357224107,3.0691735446453094e-2,0.1035846071317792,3.771856427192688e-4,8.845177944749594e-2,1.7462298274040222e-3,8.579227142035961e-3,5.7220458984375e-2,8.579227142035961e-3
3,11.002417115316078,-0.40623576674917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.82490450143814,15.0,2.3242319002747536,15.0,2.6557972887530923,0.1699710264801979,15.0,2.5871163234114647,0.5736522143706679,1.2730015441775322,4.791654646396637e-3,1.2730015441775322,5.2021932788193226e-2,0.1699710264801979,0.5020340904593468,0.1812988193705678
4,10.842304347156064,0.43510691734744844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,4.791654646396637,15.0,3.662109375,0.2905289875343442,15.0,3.748612361960113,1.3597682118415833,2.5196297792717814,2.124637831002474e-2,2.5871163234114647,0.1699710264801979,0.4795583663508296,1.1498975800350308,0.5252013215795159
5,10.549440869632791,-0.237900619779573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,4.392564296722412,15.0,3.0174851417541504,0.30666589736938477,15.0,5.106337484903634,1.544952392578125,4.392564296722412,1.859385520219803e-2,2.453327178955078,0.1812988193705678,0.5490705370903015,1.1498975800350308,0.6517767906188965
6,10.377896727956685,-8.76696383008575e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,3.662109375,15.0,4.296380211599171,0.2054421929642558,15.0,4.5892177149653435,1.7462298274040222,6.012183730490506,2.4139881134033203e-2,2.3881980450823903,0.1812988193705678,0.5736522143706679,1.4503905549645424,0.8940696716308594
7,11.402633861490248,0.4269713044465965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.3881980450823903,15.0,5.776439211331308,0.23163913283497095,15.0,4.296380211599171,1.5937368152663112,5.776439211331308,2.7284841053187847e-2,3.093552659265697,0.1699710264801979,0.6793130887672305,1.404592185281217,0.8940696716308594
8,11.382561568445784,0.15163666348047933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,3.410605131648481,,8.885599672794342,0.24553388357162476,15.0,5.214214324951172,2.2614182671532035,6.377692334353924,3.8333237171173096e-2,4.296380211599171,0.2054421929642558,0.7366907084360719,2.1997466683387756,1.0349974036216736
9,11.452561385281971,-4.257126727595928e-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,3.662109375,,9.848303161561489,0.2905289875343442,15.0,6.629414856433868,2.021479303948581,6.887675262987614,6.275426130741835e-2,4.895068123005331,0.19311904907226563,0.928018125705421,2.1392066264525056,1.1106999590992928
