tick,wind,sun,s1,s2,s3,s4,s5,s6,s7,s8,s9,sA,sB,sC,sD,sE,sF,sG,sH,sI,sJ,sK,sL,sM,sN,sO,sP,a1,a2,a3,a4,a5,a6,a7,a8,a9,aA,aB,aC,aD,aE,aF,aG
0,14.164984593627715,-0.12330687639221882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.418254309793449,0.4178824282389577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617183443158865e-2,4.25887992605567e-2,1.3969838619232178e-5,0.0,0.0,0.0,1.617183443158865e-2,1.1175870895385742e-4,1.7462298274040222e-6,5.989568307995796e-4,1.3969838619232178e-5,1.7462298274040222e-6,0.0,1.7462298274040222e-6,5.989568307995796e-4,4.71482053399086e-5
2,13.634975117607471,0.465649609571535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,4.392564296722412,15.0,1.3159081572666764,8.147209882736206e-2,15.0,6.757722585462034,1.7462298274040222,3.410605131648481,5.893525667488575e-3,2.1392066264525056,0.11175870895385742,0.3407103940844536,1.4503905549645424,0.6793130887672305
3,13.582576602634607,0.1215867491261472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,9.358700481243432,0.7665529847145081,,13.554920442402363,4.108244902454317,7.562479586340487,3.437104169279337e-2,7.562479586340487,0.8286768570542336,1.7462298274040222,3.4931162372231483,1.964271068572998
4,13.487750150616103,0.379231920244829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,10.878145694732666,1.3597682118415833,,13.969838619232178,7.424145005643368,10.184012353420258,2.124637831002474e-2,8.885599672794342,0.8609594078734517,2.7256831526756287,4.296380211599171,3.170887939631939
5,13.818240391170455,0.1251722072224477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,9.041483863256872,0.9984715143218637,,12.359619140625,7.152557373046875,10.184012353420258,8.147209882736206e-2,8.13300081063062,0.7366907084360719,2.8691114857792854,5.546939210034907,3.662109375
6,13.917330288536313,0.3993317425619465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,15.0,,7.702521979808807,0.5989568307995796,,11.789267300628126,6.012183730490506,11.056472430936992,0.15912519302219152,7.287507760338485,0.6793130887672305,2.7967843925580382,5.214214324951172,3.5769474925473332
7,13.483564086986316,-0.41421065429236537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,,11.603124439716339,0.5490705370903015,,13.554920442402363,6.377692334353924,9.358700481243432,0.24553388357162476,7.152557373046875,0.6793130887672305,2.1392066264525056,4.392564296722412,3.170887939631939
8,14.099794155792022,0.15418707575561108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,,8.731517591513693,0.5736522143706679,,13.969838619232178,6.1324238777160645,11.789267300628126,0.14875084161758423,8.279979228973389,0.5736522143706679,1.7991423374041915,4.5892177149653435,3.170887939631939
9,13.145877901106381,0.2676710185515695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.148300349712372,,8.885599672794342,0.8940696716308594,,15.0,7.287507760338485,10.015220032073557,8.147209882736206e-2,8.13300081063062,1.0349974036216736,2.2614182671532035,4.689708002842963,3.5769474925473332
